,amy_label_label,amy_label_prob
489,0,0.3727620386868638
491,0,0.331454607592193
492,1,0.3605276298754992
493,0,0.3961958048975761
494,0,0.3334054981716623
495,1,0.3264115901573441
497,0,0.2724654641277446
498,0,0.3681536489007551
499,0,0.2721029323466562
500,1,0.3232506356997448
501,0,0.3883191998996941
502,0,0.2718527284603323
503,0,0.3195869743498535
504,0,0.2968746774775062
505,0,0.3674347358941573
506,0,0.3225083751492794
507,1,0.3949937818279398
509,0,0.3082601905729338
512,0,0.3337092924440126
513,0,0.3049425436621394
515,1,0.3963078282795566
516,1,0.3096508545388713
517,0,0.3012451982813509
518,1,0.3740615838441926
519,1,0.3002763876799404
520,1,0.2937112303370535
521,0,0.3274036345045052
522,0,0.30011671148457
525,0,0.3055469559431584
526,0,0.3149810234489265
527,0,0.3785392917685932
535,0,0.2983934278878476
538,1,0.380457908153321
541,0,0.3888658287326521
542,1,0.3591659097648783
543,0,0.2814860323167041
545,0,0.4322737827430382
548,0,0.3290742283379665
551,1,0.413773565406256
552,0,0.3048580583291867
560,0,0.2902014538235362
561,0,0.3459022246288843
566,1,0.3759079166043523
578,0,0.3232132928671942
579,1,0.379608006352052
582,0,0.4058496167628468
584,0,0.3319406278386758
585,0,0.2878301723891466
586,0,0.272871627362435
587,1,0.2929091564200231
589,0,0.3532845952826329
591,0,0.3612360150477853
592,0,0.2876440060170031
593,1,0.3520710238108435
596,0,0.3706328434885249
597,0,0.3869860410492209
599,0,0.3385621711433485
600,0,0.4070782159072811
601,1,0.3441980996686009
602,0,0.3158929976907891
603,1,0.3353306519335885
605,0,0.3008119669842442
607,0,0.2878314430624407
612,0,0.4654530871514213
613,1,0.3513179103363043
614,1,0.3666091129577729
615,0,0.319512012022465
616,1,0.2883358707642657
618,0,0.3305058019238315
620,0,0.3267233584834166
625,0,0.3852333765361905
626,0,0.3317423922816122
628,1,0.5101104304435916
629,1,0.4809450449617333
630,0,0.4593096426802026
635,1,0.3913394932294464
637,0,0.3822297139452081
694,0,0.3115646117228873
736,1,0.3606762734557463
737,1,0.3889349561467826
739,0,0.3758906893129531
740,0,0.3083407259931397
742,1,0.3903337580373435
743,0,0.318372865498448
748,0,0.3609400935734622
749,0,0.4049823687652442
754,0,0.3083000500810218
757,0,0.350622858683649
760,0,0.3931512062778219
763,0,0.3626421408860705
764,1,0.3948076002581647
765,0,0.4041018197090612
766,1,0.381459518676624
768,0,0.3448674639306378
769,1,0.373746236250071
770,0,0.3785377213247348
772,0,0.2756164128757963
774,0,0.3791940517154107
775,0,0.3916718763727103
776,1,0.4155212851581913
777,0,0.4160345141485208
779,0,0.4347830471824881
786,0,0.3963527775831466
788,0,0.3302837399577166
789,1,0.3760849060427909
793,0,0.3494654141661837
801,0,0.3394705170624301
802,1,0.3628935736312045
804,1,0.4662989715870321
805,1,0.5902022780118854
811,1,0.3216366333270486
812,1,0.3814471427803652
818,0,0.3453015443882186
826,1,0.3911484696346471
841,1,0.3584203788848132
843,1,0.3580430472569243
845,0,0.2742091897008615
846,1,0.4281060249023626
848,0,0.3996913882726508
854,1,0.3448011030099546
858,0,0.3332149818400672
862,1,0.3277104264877109
866,0,0.3789114465074636
868,1,0.5232302670675337
869,0,0.2588584202822575
871,1,0.4524853645163532
872,0,0.3071460975136373
873,0,0.2602736767285035
875,0,0.4264781050019163
878,0,0.3290953896021386
883,1,0.3931275433254946
887,0,0.3423224287323609
888,1,0.3789721581762441
889,0,0.4229505342806716
891,0,0.390904003564992
895,0,0.3877615316100857
904,0,0.3631025149575362
906,1,0.3619337720028338
913,0,0.3385592880386555
920,0,0.4342012155606473
927,1,0.3710487133081687
928,0,0.3286183243203371
931,0,0.3336810907871837
935,0,0.3513262778298297
936,0,0.3606852896800067
937,0,0.4229527454734958
938,1,0.3567718105594428
939,0,0.3552739540093559
943,0,0.3023009624186163
945,0,0.2850835218068153
956,0,0.3117444445011637
960,0,0.3640178336094777
962,0,0.3815689958042156
965,1,0.3824735131130871
968,1,0.5508033358365511
972,0,0.3248628972904986
973,1,0.3682775554734399
979,0,0.3301598190207389
985,1,0.3976883613769049
996,0,0.3870931702563051
998,1,0.3370807735965217
1011,1,0.3334450281225691
1030,0,0.3272450973481741
1039,0,0.350668133455201
1063,0,0.3331790674551783
1076,0,0.3338178693246224
1086,0,0.2858669896437953
1098,0,0.3523892553294864
1144,0,0.3141972500004132
1152,0,0.3708028174282311
1161,0,0.3568931746270169
1162,0,0.3000312836079171
1165,0,0.2587058583073067
1167,1,0.4684135109162653
1169,0,0.3561749979228428
1171,0,0.3532049604336292
1173,0,0.3422230257942881
1178,0,0.3560009387209668
1179,1,0.4560157286081723
1180,0,0.3466852481102312
1181,0,0.3539206586026552
1184,0,0.3984553567757695
1185,1,0.4249992932645828
1186,0,0.3180073854471048
1187,0,0.2376982570619961
1188,0,0.2721800997512576
1189,0,0.3164511575506593
1190,0,0.3569993422090389
1194,0,0.2622452492178188
1195,0,0.3286584082091044
1196,0,0.3550085899649824
1198,0,0.3727077448878145
1200,1,0.4462353512313015
1201,1,0.3377147353017448
1202,1,0.3879525212013481
1203,1,0.3450133499361225
1204,1,0.3961522305152177
1206,0,0.3732050932745827
1208,0,0.4149812664040405
1210,0,0.3121585414655383
1211,0,0.4586546151017002
1212,0,0.4491703550816147
1214,0,0.406252923670291
1216,0,0.3508041910903484
1217,0,0.3632183094598044
1218,1,0.4733785842536981
1220,0,0.3279745892844272
1221,0,0.360070542633871
1224,1,0.3803824939008965
1225,1,0.3740653798302611
1226,1,0.4264839366001909
1227,1,0.450077532650023
1228,1,0.3584776188224786
1229,0,0.3228469729097747
1230,1,0.3645486532808727
1232,1,0.3930790813448086
1233,0,0.3116502246836785
1234,0,0.2840972520443879
1235,1,0.4442133311458701
1236,0,0.444073595631164
1237,1,0.3557001422216114
1238,1,0.4721617398797629
1239,0,0.2520604612000501
1240,1,0.3053372519328759
1241,1,0.3351871899883691
1243,0,0.3126292936330833
1244,0,0.3973137866312133
1245,0,0.3042458320218752
1246,0,0.3252174302258629
1247,0,0.2838350857235279
1248,0,0.3169792877236631
1252,0,0.2885415870450982
1253,1,0.302691425686621
1259,0,0.3209305099804385
1260,0,0.3339102371620421
1261,0,0.3525808013971526
1264,1,0.4493616038021408
1265,0,0.3267915421734638
1266,0,0.4930047785029945
1270,0,0.3984443847494981
1271,0,0.4310508489693184
1272,1,0.4523879068101017
1273,1,0.4308043514679163
1279,0,0.3816503519657098
1287,0,0.3869162489155169
1305,1,0.4625966842925739
1306,1,0.3462906098752162
1307,0,0.4876089438155006
1308,0,0.4227515395783672
1309,0,0.3841966493117776
1314,0,0.3803924963535235
1316,0,0.3134640966170027
1318,0,0.3121194319744377
1322,1,0.4472663659067562
1323,0,0.3046145796837682
1324,1,0.3638469639176059
1327,0,0.3753896693361588
1328,0,0.4413429645709702
1329,0,0.4104351264096257
1330,0,0.4024359163918848
1332,0,0.2732622595725603
1333,0,0.3884330341892376
1335,1,0.4795252203997244
1337,0,0.2991775697438713
1338,0,0.4063911834518959
1347,1,0.3423172757560349
1360,0,0.3985367358203386
1361,0,0.3588207042700008
1363,0,0.3287067015625238
1364,0,0.3930078710802457
1365,0,0.3938796556024903
1367,1,0.3973131015436147
1369,0,0.350855015329151
1370,1,0.3651035667751085
1371,0,0.305164734046264
1373,1,0.3785761979323495
1374,1,0.3915626991112523
1377,0,0.3363462734445001
1378,0,0.3573400488512061
1380,0,0.3530077059247368
1383,0,0.3598770795571819
1384,0,0.306847843278942
1385,0,0.3374054100538589
1391,0,0.3395757355763579
1395,0,0.3178200254594441
1396,0,0.3733638329038282
1398,0,0.2855059769123233
1400,1,0.3576721357369652
1402,0,0.3231486262543964
1404,0,0.4898539406043123
1405,1,0.5036471435276767
1406,0,0.4088375452392599
1407,0,0.4842276467590289
1408,0,0.4547220891122353
1409,0,0.4460603789745596
1410,1,0.5247280157566953
1411,0,0.4223630485551017
1412,1,0.4850482232455561
1413,0,0.4373302719615963
1414,0,0.3825593354940195
1415,0,0.4137790016250535
1416,0,0.4202956339157894
1417,0,0.5579032857625935
1418,1,0.4640998975064631
1419,0,0.4050551052325845
1420,1,0.4080802470606849
1421,0,0.3750164262748882
1422,0,0.4364255822789599
1423,0,0.3457212138209006
1424,0,0.4369516636157853
1425,0,0.3990765851738874
1426,0,0.4513952288480688
1427,0,0.493706320355487
1428,0,0.3825969554872538
1429,0,0.4021571842145908
1430,1,0.4477855811946196
1431,1,0.4897696946299406
1432,0,0.4441794265193766
1433,0,0.4429474427965179
1434,0,0.3954265379716762
1435,0,0.4816090618918787
1436,0,0.411789604007206
1437,0,0.3808092054714673
1438,0,0.3745223509956857
1439,0,0.4483657655915338
1440,0,0.4874558551239236
1441,0,0.3742557572370369
1442,0,0.4512201180844733
1443,1,0.5091726024577061
1444,0,0.4305548485993753
1445,0,0.5399756107003264
1446,1,0.5352561922020572
1447,0,0.5920622233375913
1449,0,0.4856642447608343
1450,0,0.4072049384434974
1451,1,0.4026556444404656
1452,1,0.5122615544401882
1453,0,0.4451923145187691
1454,0,0.3991829377083244
1455,1,0.4051157795983635
1456,0,0.3934081180814155
1457,1,0.5361059768210971
1458,0,0.4154399914576049
1459,1,0.4972015911478078
1460,0,0.4075629588504722
1461,1,0.4544095023011609
1462,0,0.4278180402631476
1463,0,0.3606299843879306
1464,0,0.3756174438529988
1465,0,0.4063149201887738
1466,1,0.551917150921139
1467,0,0.363391700017394
1468,0,0.4504971323256577
1469,0,0.46158934828802
1470,1,0.5696070638768923
1471,1,0.3912730513984415
1472,1,0.4850467940133994
1473,0,0.4259501970075465
1474,0,0.4285875477213141
1475,1,0.4996634722264143
1476,0,0.4971977765701981
1477,0,0.4474150214364302
1478,1,0.5685171133992855
1479,0,0.4153335754640447
1480,0,0.4745186973560321
1481,0,0.3680861010797249
1482,0,0.3746116048877984
1484,0,0.4096272181317611
1485,1,0.5820381325825911
1486,0,0.3829972336179064
1487,0,0.5767685031605039
1488,0,0.3855031984166148
1489,0,0.4346639948659607
1491,0,0.4747258249720061
1493,0,0.4086681437308249
1494,0,0.4625252041209175
1495,0,0.4267947903318116
1496,0,0.4082132871284157
1497,0,0.4267484793683154
1498,0,0.3978963706662084
1499,0,0.4377008555755155
