ILMN_1343291,ILMN_1343295,ILMN_1651209,ILMN_1651210,ILMN_1651221,ILMN_1651228,ILMN_1651229,ILMN_1651235,ILMN_1651237,ILMN_1651254,ILMN_1651259,ILMN_1651262,ILMN_1651268,ILMN_1651278,ILMN_1651279,ILMN_1651282,ILMN_1651285,ILMN_1651288,ILMN_1651296,ILMN_1651315,ILMN_1651316,ILMN_1651328,ILMN_1651330,ILMN_1651336,ILMN_1651339,ILMN_1651341,ILMN_1651343,ILMN_1651346,ILMN_1651347,ILMN_1651354,ILMN_1651358,ILMN_1651364,ILMN_1651370,ILMN_1651373,ILMN_1651378,ILMN_1651380,ILMN_1651385,ILMN_1651395,ILMN_1651403,ILMN_1651405,ILMN_1651415,ILMN_1651428,ILMN_1651429,ILMN_1651433,ILMN_1651437,ILMN_1651438,ILMN_1651453,ILMN_1651457,ILMN_1651464,ILMN_1651486,ILMN_1651488,ILMN_1651490,ILMN_1651492,ILMN_1651496,ILMN_1651498,ILMN_1651499,ILMN_1651501,ILMN_1651504,ILMN_1651506,ILMN_1651507,ILMN_1651508,ILMN_1651513,ILMN_1651532,ILMN_1651535,ILMN_1651538,ILMN_1651544,ILMN_1651547,ILMN_1651554,ILMN_1651557,ILMN_1651565,ILMN_1651567,ILMN_1651569,ILMN_1651574,ILMN_1651599,ILMN_1651604,ILMN_1651606,ILMN_1651609,ILMN_1651610,ILMN_1651617,ILMN_1651624,ILMN_1651628,ILMN_1651636,ILMN_1651637,ILMN_1651642,ILMN_1651643,ILMN_1651652,ILMN_1651657,ILMN_1651660,ILMN_1651664,ILMN_1651672,ILMN_1651680,ILMN_1651681,ILMN_1651684,ILMN_1651690,ILMN_1651692,ILMN_1651693,ILMN_1651699,ILMN_1651705,Label
15.04978951,11.70727131,7.607915015,,7.470736622,12.14029865,7.939998156,7.555156904,7.429456051,10.55879486,7.800213525,10.84207419,7.432447947,8.159313626,7.725062193,7.490659156,7.401979875,7.606227279,7.718643905,9.608932168,7.559835035,7.840617312,7.330354056,7.790193425,,7.66159394,7.439365097,8.574544059,9.711245097,7.467077541,8.136246927,7.634872103,7.576188049,7.514542483,8.222202423,,9.012360038,,8.360295161,9.786105453,7.536077192,7.468669171,7.887371059,8.465278545,7.646658386,8.96424444,7.434146397,,7.745447258,7.348790239,7.567771472,7.660940757,7.604264258,8.773417743,7.627356594,7.687544291,7.53732399,8.30607596,7.674983023,7.564203422,7.5107583,8.092446956,7.388990713,7.42211085,7.865170899,7.616434505,,7.453362427,7.779491867,7.498585549,7.519941379,7.50262353,7.690419262,7.482575227,7.694118208,7.54362015,7.423725554,7.585020336,,7.410305103,8.173210296,7.503465263,7.567898044,7.747642798,7.561332204,7.516132758,7.548563557,7.443007402,7.497139084,7.412367804,14.38453513,7.383380163,7.738682123,7.50225246,9.790265452,7.476069525,,11.10934042,0
14.72533956,11.81667394,7.493618012,,7.396400554,9.994807193,8.031641798,7.538658841,7.445005663,10.93209733,7.891523522,10.5899072,7.477303265,8.301205507,7.624914739,7.520295524,7.335795959,7.556580144,7.873427603,9.593289383,7.458845103,7.986113271,7.420697415,7.819672513,,7.645230429,7.380177254,9.107614712,9.681946851,7.888105439,10.15338242,7.625755632,7.436827712,7.582971369,7.857902329,,8.830381406,,8.497503566,9.531414116,7.68081651,7.486160681,8.060392844,8.29233875,7.568209737,8.803721068,7.437337176,,7.754955366,7.385345995,7.406227009,7.740773435,7.668056526,9.100668276,7.484292873,7.660473693,7.436370374,8.129659851,7.517388226,7.540813414,7.51761373,7.852783566,7.386175286,7.469483281,7.963591626,7.570646039,,7.445071985,7.649801241,7.495380561,7.555328358,7.440695212,7.787021297,7.452320605,8.129345517,7.552489573,7.592545784,7.615883564,,7.365802911,8.650724044,7.500574342,7.49464769,8.048514741,7.46626891,7.824165585,7.619016498,7.449222292,7.413507696,7.390901055,13.75069487,7.408721389,7.636627558,7.425972677,9.420523231,7.506823586,,10.62407624,1
14.94712584,11.79322111,7.503014008,,7.469762048,11.97231062,7.887194934,7.540840032,7.448096738,10.46959539,7.723133369,10.76243183,7.616782334,8.32571981,7.590614875,7.472101175,7.483701391,7.515962993,7.736974268,9.662914639,7.67405193,7.985878097,7.496809793,7.853640789,,7.582754428,7.475911776,8.914479413,9.679391611,7.521971195,7.875414105,7.674654186,7.471691704,7.50416035,8.340415171,,9.212897101,,8.024957963,9.6042132,7.548671765,7.464385159,8.033865641,8.487495588,7.501151036,8.556254876,7.421298985,,7.621469279,7.453989349,7.356595863,7.826261123,7.559586279,8.820358672,7.51144443,7.995043297,7.509111034,8.162652847,7.618692819,7.60008293,7.452662734,8.230902066,7.335225585,7.451629743,7.635128159,7.560447805,,7.408824496,7.80949279,7.416418721,7.51151491,7.495447346,7.568783792,7.441142146,7.69088641,7.444316315,7.457488311,7.661531509,,7.396980082,8.46404949,7.536604874,7.467333888,7.714180025,7.503455457,7.574598961,7.535140357,7.427508971,7.456989488,7.400182048,14.79950219,7.431117628,7.828001653,7.537248821,9.670133058,7.599142412,,10.83096804,0
13.92039071,9.370228235,6.027097752,6.042980576,6.05905761,10.4225075,6.441784025,6.045304491,6.031736475,8.746748779,6.347835991,8.596673994,6.103097223,6.82503276,6.294665989,6.031636202,6.029901386,6.175500666,6.326136485,7.520953548,6.459558639,6.376611913,6.002294066,6.201892652,6.124639579,6.124927275,6.114871412,6.84875638,7.847898725,6.152913608,6.989349304,6.17269331,6.067532556,6.077852969,7.028012111,6.051027511,6.741379757,6.021509128,6.654455841,8.016797994,6.101655699,6.046672239,6.535272894,7.056447394,6.015890385,6.951443294,6.096493462,6.026577516,6.563731565,6.050885002,6.02905992,6.020394012,6.057162262,7.9880714,6.081899618,6.504765749,6.080559917,6.544727055,6.046503458,6.237680428,6.081555788,6.758941275,6.133050146,6.023213521,6.095357381,6.13310306,6.015179598,6.091228618,6.480455951,6.008980694,6.006980823,6.060994773,6.12595174,6.059880706,6.059912845,6.052307287,6.085877902,6.253959829,6.084218522,6.025914367,6.966687555,5.988456249,6.087052301,6.107665837,6.024821889,6.114150097,6.03687045,6.084750942,6.01612465,6.065108921,12.38373092,6.070727945,6.355956876,6.151264889,7.310007125,6.137959654,6.020576002,8.765384749,0
14.89115773,11.93904686,7.721745996,,7.490144418,9.987673031,7.854581982,7.451629743,7.407580923,10.90552261,8.018234335,10.57579393,7.491918298,8.021927283,7.592678663,7.492515718,7.433683189,7.507238566,7.83195543,9.467680872,7.543363107,7.912415376,7.387421838,7.812582122,,7.612418304,7.602452377,8.824084489,9.715166023,7.522955992,8.397533157,7.630121861,7.458337982,7.45457436,7.834527695,,8.774070973,,8.229674839,9.665309351,7.538957257,7.49038368,7.877572704,8.322427393,7.553753673,8.855770295,7.418963373,,7.664403387,7.405537438,7.501833204,7.578622458,7.492459382,9.441524031,7.420850388,7.638751835,7.426768943,8.241728395,7.560655268,7.587775262,7.57092055,8.091424035,7.349487712,7.487791633,7.874504007,7.548804574,,7.355586163,7.63791978,7.538471787,7.514188818,7.46639412,8.014735642,7.415011512,7.923487466,7.432932295,7.676889269,7.540725779,,7.453891414,8.976612906,7.435526209,7.472101175,7.879297503,7.622047957,7.688501114,7.595323524,7.429699133,7.489868547,7.472749788,14.38453513,7.459959486,7.790504206,7.403986115,9.494479172,7.519000178,,10.27792559,1
15.04978951,12.02500641,7.605826209,,7.497167805,9.795684103,7.910741611,7.437419088,7.357144108,10.92453665,7.67887043,10.8811468,7.437469363,7.999268899,7.608985987,7.515942398,7.285481624,7.542039105,7.72389502,9.921435703,7.535732542,7.846797984,7.383408796,7.950860218,,7.694275999,7.365802911,8.949444788,9.69679919,7.611283487,8.220451935,7.758050733,7.559571959,7.752014701,7.952479731,,9.03372702,,8.782520217,9.793019123,7.520653011,7.524419972,8.087266563,8.377858374,7.673148129,9.060563833,7.442115016,,7.668090335,7.413373829,7.556565989,7.723511371,7.590653146,8.638928221,7.416750608,7.594329877,7.711118485,8.068787349,7.685388876,7.687505323,7.497158643,8.013730267,7.394184047,7.452982048,7.473758386,7.518465029,,7.422183243,7.807942964,7.393793234,7.446645669,7.489669303,7.619572452,7.512529556,7.611500553,7.522542808,7.467679761,7.698255883,,7.43110101,8.644985824,7.470512759,7.411730808,7.61311016,7.466468486,7.672428469,7.66430943,7.407436713,7.304307748,7.405577296,14.64120734,7.282213164,7.708900298,7.460560034,9.55501167,7.546303124,,10.68464314,1
13.79880343,9.838456777,6.319786499,6.029493168,6.035819817,10.3092236,6.448275789,6.016436384,6.021269805,8.236156612,6.426351506,8.859950174,6.031531962,6.579094428,6.169482288,6.062943988,6.032693897,6.211435887,6.122501998,7.546516322,6.115616168,6.316538445,5.998996729,6.116753169,6.042181762,6.066710117,6.107741127,7.064244981,7.664945342,6.116275688,7.319390787,6.237133861,6.084111371,6.070107502,7.459160126,6.032695815,7.158617121,6.045888484,6.710253471,8.175132303,6.062273643,6.02481239,6.350479582,7.124259307,6.039705442,7.312881879,6.035440287,6.014219736,6.073842007,6.075633227,6.089289461,6.09358722,6.032987576,7.603145477,6.06497276,6.516361186,6.045354935,6.474069664,6.267098469,6.122810648,6.052057574,6.30591936,6.042792185,6.067008917,6.070419736,6.051191847,6.118498494,6.090790069,6.322535704,6.0745936,6.054040782,6.050840536,6.058480315,6.03382782,6.024036213,6.056072318,6.090229592,6.043158086,6.065014851,6.039009048,6.69143558,6.038379753,6.016600093,6.253653558,6.020839636,6.03184224,6.089671625,5.995303073,6.212624833,6.023420964,12.56941077,6.051900291,6.357432285,6.035868014,7.389617257,6.084817124,6.057584289,9.370443356,0
12.99981798,10.02846531,6.151608439,6.082014195,6.011992411,10.08113581,6.417776317,6.149471364,6.001982185,9.21962737,6.391461937,8.340635756,6.089198206,6.962715474,6.387521815,6.199334935,6.002920418,6.147373242,6.350899781,7.811092309,6.134231701,6.379739539,6.025077709,6.160979438,6.134539973,6.130396206,6.061053492,6.798005628,8.193740915,6.047564097,7.397416297,6.098612675,6.069746227,6.22616407,7.15287651,6.097065161,7.626653362,6.038226217,6.83233295,8.027587308,6.095958646,6.122061549,6.490162558,7.079824389,6.0240012,6.962743751,6.03362393,6.055040847,6.431708942,6.093199255,6.148972572,6.043660872,6.027317855,7.874787057,6.13727155,6.478827968,6.074616528,6.783726491,6.13867532,6.105768568,6.054991997,6.403699823,6.061462699,6.057258581,6.060615577,6.042198618,5.993971784,6.037532564,6.384596085,6.123789835,6.086232784,6.076854899,6.059055675,6.055578519,6.018974801,6.02813063,6.193718099,6.145390024,6.025961759,6.049354477,7.268919458,6.041986828,6.033515426,6.183804754,6.038536317,6.113400726,6.01642716,6.037867317,6.038609067,6.000688671,12.12984463,6.085251164,6.339275829,6.162547728,7.783009752,6.10981297,6.093482894,9.357834098,1
13.11077592,10.02731361,6.126864308,6.007603106,6.03541138,10.68320569,6.321941744,6.051604559,6.020107185,8.994276216,6.714444027,8.53294766,6.045068008,6.704209396,6.564129515,6.24946214,6.011689906,6.471977032,6.136200288,7.600653606,6.017903443,6.776301701,5.986715016,6.079450734,6.041782783,6.011554516,6.059069045,6.646789614,7.897374609,6.089398886,8.093371224,6.077594149,6.044207248,6.276018277,7.374548165,6.041505813,7.114381953,6.032640907,6.792273269,8.093967185,6.037139624,6.053022961,6.282381427,6.665561307,6.027836292,7.218203355,6.067793189,6.073578776,6.847135021,6.113098217,6.047730294,6.027835844,6.064141647,7.492334674,6.049270207,6.47011413,6.239616835,6.6302761,5.993242557,6.09027966,6.080742579,6.20136588,6.157906432,6.046237499,6.027558806,6.096298389,6.115918579,6.044203091,6.122406283,6.035300193,6.00667188,6.222186198,6.205593375,6.126477383,6.102630309,6.075859357,6.283909846,6.060013716,6.090182432,6.016072996,6.636055897,6.16515991,6.097968213,6.10196366,6.029691678,6.041229218,6.121204539,6.036938964,6.053829447,6.037845587,11.95137291,6.121810528,6.198446337,6.040319008,7.758571034,6.056788702,6.017837107,9.34197459,1
13.51819827,9.817910881,6.266974839,6.008185238,6.093756832,10.7479159,6.694902737,6.008844977,6.030561603,9.265768701,6.274566596,8.769486315,6.092307317,6.665721049,6.312199518,6.036891778,6.054971297,6.167328406,6.393700252,7.852279073,6.029502976,6.454042165,6.016587022,6.156372261,6.039786383,6.155335653,6.135906181,6.590790451,7.884019938,5.984628613,7.039666707,6.123916622,6.06187501,6.124894087,7.383610019,6.049943291,7.39823584,6.024436606,6.487802951,8.339414807,6.139385102,6.072978039,6.909717135,6.494016752,6.051905081,7.261887243,6.031528073,6.057016232,6.608174946,6.058561734,6.001025416,6.00654718,6.054880495,7.936743714,6.138510536,6.596746432,6.025839132,6.822364099,6.125663636,6.082331284,6.017826613,6.4364888,6.030587701,6.018175426,6.097281044,6.141329407,6.017024549,6.095842315,6.271552025,6.060153058,6.017517594,6.060566594,6.030154981,6.066116056,6.045067577,6.136038504,6.094787489,6.320723479,6.059418254,6.063289111,6.497554918,6.045509585,6.08256433,6.212166964,6.06048084,6.072165516,6.118943387,6.02193584,6.052100215,6.057240022,11.72281334,6.093602909,6.377225334,6.176171582,7.816111175,6.090462848,6.030119027,9.032510072,0
