nCount_RNA,nFeature_RNA,SORT,nCount_SCT,nFeature_SCT,nCount_Exon,nFeature_Exon,sex_ontology_term_id,sex,Label_0,Label_1,Label_2,Label_3
11117.0,4545,0,5461.0,3355,8175.0,3607,0,0,0,0,0,1
5957.0,3054,1,5386.0,3053,3589.0,2029,0,0,0,0,0,1
6041.0,2674,1,5302.0,2674,2161.0,1144,1,1,0,0,0,1
10049.0,4005,2,10002.0,4005,2675.0,1739,0,0,0,0,1,0
5012.0,2547,1,4942.0,2547,1806.0,1154,1,1,0,0,0,1
1122.0,822,0,3195.0,1153,679.0,504,1,1,0,0,0,1
6501.0,2762,1,5397.0,2752,2376.0,1246,0,0,0,0,0,1
5886.0,2906,0,5153.0,2905,2866.0,1696,0,0,0,0,0,1
2906.0,1833,2,4158.0,1855,1117.0,872,0,0,0,0,1,0
9491.0,3964,2,9571.0,3964,4547.0,2428,1,1,0,1,0,0
9574.0,3828,2,9626.0,3828,3038.0,1934,0,0,0,0,1,0
3883.0,2169,1,4198.0,2169,2137.0,1329,1,1,0,0,0,1
1880.0,1273,0,3925.0,1378,1003.0,724,1,1,0,0,0,1
2246.0,1424,0,3853.0,1471,1115.0,799,1,1,0,0,0,1
4818.0,2777,0,4751.0,2777,2686.0,1692,0,0,0,0,0,1
8795.0,3295,2,9322.0,3295,1677.0,1061,1,1,0,1,0,0
1737.0,1123,2,4203.0,1321,590.0,436,0,0,1,0,0,0
6900.0,3074,2,8970.0,3085,1598.0,1141,0,0,0,0,1,0
3699.0,2047,0,3965.0,2047,1294.0,954,1,1,0,0,0,1
2702.0,1733,0,3642.0,1749,1714.0,1166,0,0,0,0,0,1
10957.0,4338,2,10441.0,4337,3785.0,2262,0,0,0,0,1,0
2921.0,1590,2,8595.0,2356,953.0,582,1,1,1,0,0,0
9824.0,3757,2,9824.0,3757,2502.0,1658,1,1,1,0,0,0
6916.0,3091,2,8902.0,3105,1844.0,1295,1,1,1,0,0,0
1730.0,1294,0,3799.0,1470,1077.0,795,0,0,0,0,0,1
1251.0,899,0,3438.0,1193,741.0,532,1,1,0,0,0,1
11167.0,4101,0,5317.0,2928,7158.0,3079,0,0,0,0,0,1
1949.0,1228,2,4592.0,1374,676.0,449,0,0,1,0,0,0
20977.0,5434,2,10845.0,4683,4170.0,2294,1,1,0,1,0,0
19366.0,5756,2,10986.0,5168,9675.0,4097,1,1,0,1,0,0
7381.0,3685,0,5426.0,3575,3598.0,1986,1,1,0,0,0,1
7134.0,3426,0,5294.0,3369,4354.0,2358,0,0,0,0,0,1
4870.0,2444,1,4838.0,2444,1889.0,1215,0,0,0,0,0,1
7859.0,3939,2,6152.0,3889,4870.0,2880,1,1,0,0,1,0
7921.0,3562,2,9006.0,3562,2618.0,1698,1,1,0,1,0,0
5841.0,2729,1,5263.0,2729,2700.0,1445,0,0,0,0,0,1
3876.0,2002,1,4272.0,2002,1642.0,857,1,1,0,0,0,1
2412.0,1533,2,4276.0,1593,818.0,649,1,1,0,0,1,0
7464.0,3589,1,5621.0,3543,4101.0,2287,0,0,0,0,0,1
9453.0,3498,2,5869.0,3262,3645.0,1784,0,0,1,0,0,0
4505.0,2192,1,4548.0,2192,1692.0,1059,1,1,0,0,0,1
9890.0,3771,2,6026.0,3497,4392.0,2312,0,0,1,0,0,0
4442.0,2657,2,4565.0,2657,3268.0,2101,1,1,0,0,1,0
4588.0,2439,2,4723.0,2438,2038.0,1256,1,1,0,0,1,0
5143.0,2917,2,5135.0,2917,3972.0,2358,1,1,0,0,1,0
12340.0,4684,2,10732.0,4683,4041.0,2454,0,0,0,0,1,0
3598.0,1864,1,4176.0,1863,1439.0,831,1,1,0,0,0,1
11330.0,4258,1,5620.0,3324,5272.0,2570,0,0,0,0,0,1
8281.0,3680,0,5447.0,3424,5230.0,2616,0,0,0,0,0,1
2645.0,1677,1,3888.0,1693,1351.0,949,0,0,0,0,0,1
7187.0,3349,0,5300.0,3279,3738.0,2033,0,0,0,0,0,1
7403.0,3350,1,5559.0,3308,3367.0,1845,0,0,0,0,0,1
9778.0,3872,2,9779.0,3872,2743.0,1689,1,1,0,1,0,0
3383.0,1843,1,4135.0,1843,1762.0,1048,1,1,0,0,0,1
2373.0,1469,1,4107.0,1512,1393.0,907,1,1,0,0,0,1
3454.0,1872,1,4139.0,1872,1619.0,926,1,1,0,0,0,1
2050.0,1252,1,4093.0,1339,1030.0,669,0,0,0,0,0,1
1582.0,1114,0,3680.0,1295,950.0,685,1,1,0,0,0,1
9403.0,3933,1,5721.0,3567,4992.0,2510,0,0,0,0,0,1
6148.0,2888,1,5368.0,2886,3293.0,1769,1,1,0,0,0,1
3682.0,1995,2,8880.0,2441,1136.0,847,1,1,1,0,0,0
942.0,680,1,3344.0,1138,468.0,344,0,0,0,0,0,1
6670.0,3209,0,5340.0,3173,4760.0,2404,0,0,0,0,0,1
2209.0,1368,2,4571.0,1459,822.0,574,1,1,0,0,1,0
4990.0,2449,1,4912.0,2449,2199.0,1255,0,0,0,0,0,1
12207.0,4273,2,10622.0,4270,2877.0,1745,1,1,1,0,0,0
2299.0,1461,1,4012.0,1525,1237.0,879,0,0,0,0,0,1
7001.0,3187,1,5468.0,3155,3839.0,1979,0,0,0,0,0,1
8124.0,3378,2,5803.0,3306,3381.0,1780,0,0,1,0,0,0
13262.0,4362,2,10696.0,4340,2990.0,1787,1,1,1,0,0,0
8069.0,3718,2,9015.0,3718,3260.0,2127,1,1,0,1,0,0
5077.0,2720,2,5069.0,2719,3019.0,1829,0,0,0,0,1,0
2909.0,1614,1,4026.0,1622,1600.0,943,0,0,0,0,0,1
11291.0,4398,0,5299.0,3141,6728.0,3221,0,0,0,0,0,1
10041.0,4112,1,5727.0,3599,4880.0,2346,0,0,0,0,0,1
3823.0,2207,0,4006.0,2207,2325.0,1512,0,0,0,0,0,1
4091.0,2327,2,4441.0,2327,1527.0,1144,0,0,0,0,1,0
5804.0,2840,1,5285.0,2839,2471.0,1436,0,0,0,0,0,1
4909.0,2600,2,8845.0,2781,1269.0,953,0,0,0,0,1,0
9162.0,3528,1,5516.0,3177,3823.0,1662,0,0,0,0,0,1
5076.0,2786,2,5071.0,2786,2086.0,1494,0,0,0,0,1,0
10168.0,4384,1,5863.0,3804,5647.0,2928,1,1,0,0,0,1
11946.0,3997,1,5257.0,2873,4834.0,1799,0,0,0,0,0,1
3321.0,1844,1,4046.0,1844,1336.0,927,0,0,0,0,0,1
